Date,Price,MarketCap,Addresses,Difficulty,TransFee,TweetsNum
16/10/2010,0.10099999999999999,428869.0,933.0,1378.0,,
17/10/2010,0.102,436585.0,752.0,1378.0,,
18/10/2010,0.10300000000000001,440968.0,947.0,1378.0,6.22e-06,
19/10/2010,0.0985,424161.0,1408.0,1378.0,,
20/10/2010,0.0995,429740.0,1183.0,1378.0,,
21/10/2010,0.102,442318.0,994.0,1962.0,2.17e-06,
22/10/2010,0.105,456965.0,972.0,2149.0,,
23/10/2010,0.107,464277.0,835.0,2149.0,1.56e-05,
24/10/2010,0.11199999999999999,485933.0,851.0,2149.0,,
25/10/2010,0.111,485067.0,752.0,2149.0,,
26/10/2010,0.142,620193.0,866.0,2149.0,,
27/10/2010,0.16899999999999998,743514.0,1117.0,2149.0,,
28/10/2010,0.179,786908.0,998.0,2149.0,,
29/10/2010,0.185,815999.0,848.0,2149.0,,
30/10/2010,0.193,854774.0,659.0,2186.0,,
31/10/2010,0.193,857209.0,572.0,3092.0,,
01/11/2010,0.19399999999999998,862272.0,597.0,3092.0,,
02/11/2010,0.193,859090.0,458.0,3092.0,,
03/11/2010,0.193,863242.0,574.0,3092.0,,
04/11/2010,0.214,958988.0,607.0,3092.0,,
05/11/2010,0.235,1053471.0,835.0,3092.0,,
06/11/2010,0.326,1464669.0,596.0,3092.0,,
07/11/2010,0.405,1823996.0,690.0,3092.0,,
08/11/2010,0.294,1329677.0,1571.0,3092.0,0.0010199999999999999,
09/11/2010,0.237,1073503.0,648.0,3671.0,,
10/11/2010,0.225,1021590.0,651.0,4536.0,,
11/11/2010,0.22699999999999998,1030700.0,601.0,4536.0,,
12/11/2010,0.249,1133761.0,456.0,4536.0,,
13/11/2010,0.282,1286441.0,579.0,4536.0,,
14/11/2010,0.278,1271347.0,901.0,4536.0,,
15/11/2010,0.27399999999999997,1256983.0,4396.0,4536.0,2.8100000000000002e-05,
16/11/2010,0.24600000000000002,1130948.0,3365.0,4536.0,,
17/11/2010,0.226,1044784.0,675.0,4536.0,,
18/11/2010,0.245,1133163.0,632.0,4917.0,,
19/11/2010,0.27399999999999997,1271768.0,641.0,6867.0,2.31e-06,
20/11/2010,0.282,1307999.0,784.0,6867.0,2.9299999999999997e-05,
21/11/2010,0.27699999999999997,1286487.0,758.0,6867.0,2.8999999999999997e-05,
22/11/2010,0.28,1305266.0,624.0,6867.0,0.000872,
23/11/2010,0.28300000000000003,1319591.0,660.0,6867.0,0.000675,
24/11/2010,0.28300000000000003,1322715.0,963.0,6867.0,1.4300000000000002e-05,
25/11/2010,0.281,1317164.0,912.0,6867.0,,
26/11/2010,0.282,1321797.0,1197.0,6867.0,9.31e-05,
27/11/2010,0.284,1333957.0,822.0,6867.0,2.14e-05,
28/11/2010,0.27699999999999997,1302591.0,706.0,6867.0,,
29/11/2010,0.254,1200902.0,900.0,6867.0,3.12e-05,
30/11/2010,0.21899999999999997,1036117.0,797.0,7167.0,8.69e-06,
01/12/2010,0.21899999999999997,1035723.0,1109.0,8078.0,2.7000000000000002e-05,
02/12/2010,0.242,1147016.0,812.0,8078.0,5.3299999999999995e-05,
03/12/2010,0.251,1192236.0,881.0,8078.0,1.28e-05,
04/12/2010,0.23,1096732.0,729.0,8078.0,1.3300000000000001e-05,
05/12/2010,0.205,979869.0,695.0,8078.0,3.15e-05,
06/12/2010,0.215,1027841.0,734.0,8078.0,4.33e-05,
07/12/2010,0.213,1025142.0,1142.0,8078.0,5.25e-05,
08/12/2010,0.239,1152903.0,903.0,8078.0,3.3600000000000004e-05,
09/12/2010,0.213,1028300.0,835.0,8228.0,3.02e-05,
10/12/2010,0.20199999999999999,977448.0,636.0,12252.0,6.26e-05,
11/12/2010,0.21600000000000003,1045083.0,1070.0,12252.0,6.74e-05,
12/12/2010,0.214,1038959.0,1194.0,12252.0,6.74e-05,
13/12/2010,0.22,1069970.0,1676.0,12252.0,0.000136,
14/12/2010,0.23800000000000002,1158192.0,1137.0,12252.0,2.4100000000000003e-05,
